"joinID","nature","access","riskPerc","budget","knowledge","OPMpresence","OPMinv"
355,1,1,0.8,43820,0,0,1
356,1,0,0.8,43820,0,0,1
357,2,0,0,43820,0,0,1
358,2,0,0,43820,0,0,1
359,2,0,0,43820,0,0,1
360,2,0,0,43820,0,0,1
361,2,0,0.8,43820,0,0,1
362,1,0,0.8,43820,0,0,1
363,1,0,1,43820,0,0,1
364,1,0,0,43820,0,0,1
365,1,0,0,43820,0,0,1
366,1,0,0,43820,0,0,1
367,1,0,0,43820,0,0,1
368,1,0,0,43820,0,0,1
369,1,0,0,43820,0,0,1
370,2,0,0,43820,0,0,1
371,2,0,0,43820,0,0,1
372,2,0,0,43820,0,0,1
373,2,0,0,43820,0,0,1
374,2,0,0,43820,0,0,1
375,3,0,0,43820,0,0,1
376,3,0,0,43820,0,0,1
377,3,0,0,43820,0,0,1
378,3,0,0,43820,0,0,1
379,3,0,0,43820,0,0,1
380,3,0,0,43820,0,0,1
381,3,0,0,43820,0,0,1
382,3,0,0,43820,0,0,1
383,2,0,0,43820,0,0,1
384,2,0,0.5,43820,0,0,1
385,2,0,0.5,43820,0,0,1
386,2,0,0,43820,0,0,1
387,2,0,0,43820,0,0,1
388,2,0,0,43820,0,0,1
389,2,0,0,43820,0,0,1
390,2,0,0,43820,0,0,1
391,1,0,0,43820,0,0,1
392,1,0,0,43820,0,0,1
393,3,0,0,43820,1,1,0
394,3,1,0.8,43820,1,1,0
395,3,1,0.8,43820,1,1,0
396,3,1,0.8,43820,1,1,0
397,3,1,0.8,43820,1,1,0
398,2,1,0.8,43820,0,0,1
399,2,1,0.8,43820,0,0,1
400,2,1,0.8,43820,0,0,1
401,2,1,0.8,43820,0,0,1
402,2,1,0.8,43820,0,0,1
403,2,1,0,43820,0,0,1
404,2,0,0,43820,0,0,1
405,2,0,0,43820,0,0,1
406,2,0,0.5,43820,0,0,1
407,2,1,0.5,43820,0,0,1
408,1,0,0.8,43820,0,0,1
409,1,0,0.8,43820,0,0,1
410,1,0,0.8,43820,0,0,1
411,2,0,0,43820,0,0,1
412,2,0,0,43820,0,0,1
413,2,0,0.8,43820,0,0,1
414,2,1,0.8,43820,0,0,1
415,2,0,0.8,43820,0,0,1
416,1,0,0,43820,0,0,1
417,1,0,0.8,43820,0,0,1
418,1,0,0,43820,0,0,1
419,1,0,0,43820,0,0,1
420,1,0,0,43820,0,0,1
421,1,0,0,43820,0,0,1
422,1,0,0,43820,0,0,1
423,2,0,0,43820,0,0,1
424,2,0,0,43820,0,0,1
425,2,0,0,43820,0,0,1
426,2,0,0,43820,0,0,1
427,2,0,0,43820,0,0,1
428,3,0,0,43820,0,0,1
429,3,0,0,43820,0,0,1
430,3,0,0,43820,0,0,1
431,3,0,0,43820,0,0,1
432,3,0,0,43820,0,0,1
433,3,0,0,43820,0,0,1
434,3,0,0,43820,0,0,1
435,3,0,0,43820,0,0,1
436,3,0,0,43820,0,0,1
437,3,0,0,43820,0,0,1
438,3,0,0,43820,0,0,1
439,3,0,0.5,43820,0,0,1
440,3,0,0,43820,0,0,1
441,2,0,0,43820,0,0,1
442,2,0,0,43820,0,0,1
443,1,0,0,43820,0,0,1
444,1,0,0,43820,0,0,1
445,1,0,0,43820,0,0,1
446,1,0,0.8,43820,0,0,1
447,1,0,0.8,43820,0,0,1
448,2,0,0.8,43820,0,0,1
449,2,0,0,43820,0,0,1
450,2,0,0.8,43820,0,0,1
451,3,1,0.8,43820,0,0,1
452,3,1,0.8,43820,0,0,1
453,3,1,0.8,43820,0,0,1
454,3,1,0.8,43820,0,0,1
455,3,1,0.8,43820,0,0,1
456,1,1,0.8,43820,0,0,1
457,1,1,0.5,43820,0,0,1
458,1,1,0,43820,0,0,1
459,1,1,0,43820,0,0,1
460,1,1,0,43820,0,0,1
461,1,1,0,43820,0,0,1
462,1,0,0.8,43820,0,0,1
463,1,1,0.5,43820,0,0,1
464,1,0,0,43820,0,0,1
465,1,0,0.8,43820,0,0,1
466,2,0,0.8,43820,0,0,1
467,2,0,0.8,43820,0,0,1
468,2,0,0.8,43820,0,0,1
469,2,0,0.5,43820,0,0,1
470,2,1,0.8,43820,0,0,1
471,2,1,0.8,43820,0,0,1
472,2,0,0,43820,0,0,1
473,2,0,0,43820,0,0,1
474,2,0,0,43820,0,0,1
475,2,0,1,43820,0,0,1
476,1,0,0,43820,0,0,1
477,1,0,0,43820,0,0,1
478,1,0,0,43820,0,0,1
479,1,0,0,43820,0,0,1
480,1,0,0,43820,0,0,1
481,1,0,0,43820,0,0,1
482,1,0,0,43820,0,0,1
483,2,0,0,43820,0,0,1
484,2,0,0,43820,0,0,1
485,2,0,0,43820,0,0,1
486,3,0,0,43820,0,0,1
487,3,0,0,43820,0,0,1
488,3,0,0,43820,0,0,1
489,3,0,0,43820,0,0,1
490,3,0,0,43820,0,0,1
491,3,0,0,43820,0,0,1
492,3,0,0,43820,0,0,1
493,3,0,0,43820,0,0,1
494,3,1,0,43820,0,0,1
495,3,1,0,43820,0,0,1
496,3,0,0,43820,0,0,1
497,3,0,0,43820,0,0,1
498,2,0,0,43820,0,0,1
499,2,0,0,43820,0,0,1
500,2,0,0,43820,0,0,1
501,1,0,0,43820,0,0,1
502,1,0,0.8,43820,0,0,1
503,1,0,0.8,43820,0,0,1
504,1,0,0.8,43820,0,0,1
505,1,0,0.8,43820,0,0,1
506,2,0,0.8,43820,0,0,1
507,2,0,0.8,43820,0,0,1
508,3,0,1,43820,0,0,1
509,3,1,0.8,43820,0,0,1
510,3,1,0.8,43820,0,0,1
511,3,1,0.5,43820,0,0,1
512,3,1,0.8,43820,0,0,1
513,1,1,0.8,43820,0,0,1
514,1,1,0.5,43820,0,0,1
515,1,1,0.5,43820,0,0,1
516,1,1,0.5,43820,0,0,1
517,1,1,0.5,43820,0,0,1
518,1,1,0,43820,0,0,1
519,1,0,0.5,43820,0,0,1
520,1,0,0.5,43820,0,0,1
521,1,0,0.8,43820,0,0,1
522,1,0,0.8,43820,0,0,1
523,2,0,0.8,43820,0,0,1
524,2,0,0.8,43820,0,0,1
525,2,0,0,43820,0,0,1
526,2,0,0.5,43820,0,0,1
527,2,0,0.5,43820,0,0,1
528,2,0,0.5,43820,0,0,1
529,2,0,0.8,43820,0,0,1
530,2,0,0.8,43820,0,0,1
531,2,0,0,43820,0,0,1
532,2,0,0,43820,0,0,1
533,1,0,0,43820,0,0,1
534,1,0,0,43820,0,0,1
535,1,0,0.5,43820,0,0,1
536,1,0,0,43820,0,0,1
537,1,0,0.8,43820,0,0,1
538,1,0,0,43820,0,0,1
539,1,0,0,43820,0,0,1
540,1,0,0,43820,0,0,1
541,2,0,0,43820,0,0,1
542,2,0,0,43820,0,0,1
543,3,0,0,43820,0,0,1
544,3,0,0,43820,0,0,1
545,3,0,0,43820,0,0,1
546,3,0,0,43820,0,0,1
547,3,0,0,43820,0,0,1
548,3,0,0,43820,0,0,1
549,3,0,0,43820,0,0,1
550,3,0,0,43820,0,0,1
551,3,1,0,43820,0,0,1
552,3,1,0,43820,1,1,0
553,3,1,0,43820,1,1,0
554,3,1,0,43820,0,0,1
555,3,1,0,43820,0,0,1
556,3,0,0,43820,0,0,1
557,3,0,0,43820,0,0,1
558,2,0,0,43820,0,0,1
559,2,0,0,43820,0,0,1
560,1,0,0,43820,0,0,1
561,1,0,0,43820,0,0,1
562,1,0,0,43820,0,0,1
563,1,0,0,43820,0,0,1
564,1,0,0.8,43820,0,0,1
565,1,0,0,43820,0,0,1
566,2,0,0,43820,0,0,1
567,2,0,0,43820,0,0,1
568,3,1,0.8,43820,0,0,1
569,3,1,0.8,43820,0,0,1
570,2,1,0.8,43820,0,0,1
571,3,1,0.8,43820,0,0,1
572,1,1,0.5,43820,0,0,1
573,1,1,0.5,43820,0,0,1
574,1,1,0.5,43820,0,0,1
575,1,1,0.5,43820,0,0,1
576,1,1,0.5,43820,0,0,1
577,0,0,0,43820,0,0,1
578,1,0,0.5,43820,0,0,1
579,1,0,0.5,43820,0,0,1
580,1,0,0.5,43820,0,0,1
581,1,0,0,43820,0,0,1
582,2,0,0.8,43820,0,0,1
583,2,0,0.8,43820,0,0,1
584,2,0,0,43820,0,0,1
585,2,0,0.5,43820,0,0,1
586,2,0,0.5,43820,0,0,1
587,2,0,0.5,43820,0,0,1
